tahun;nama_kabkota;jenis_sekolah;kelas;jumlah
2011;Kepulauan Seribu;Negeri;I;4
2011;Kepulauan Seribu;Negeri;II;0
2011;Kepulauan Seribu;Negeri;III;1
2011;Kepulauan Seribu;Negeri;IV;1
2011;Kepulauan Seribu;Negeri;V;2
2011;Kepulauan Seribu;Negeri;VI;0
2011;Kepulauan Seribu;Swasta;I;0
2011;Kepulauan Seribu;Swasta;II;0
2011;Kepulauan Seribu;Swasta;III;0
2011;Kepulauan Seribu;Swasta;IV;0
2011;Kepulauan Seribu;Swasta;V;0
2011;Kepulauan Seribu;Swasta;VI;0
2011;Jakarta Selatan;Negeri;I;10
2011;Jakarta Selatan;Negeri;II;5
2011;Jakarta Selatan;Negeri;III;2
2011;Jakarta Selatan;Negeri;IV;11
2011;Jakarta Selatan;Negeri;V;7
2011;Jakarta Selatan;Negeri;VI;4
2011;Jakarta Selatan;Swasta;I;0
2011;Jakarta Selatan;Swasta;II;2
2011;Jakarta Selatan;Swasta;III;0
2011;Jakarta Selatan;Swasta;IV;1
2011;Jakarta Selatan;Swasta;V;4
2011;Jakarta Selatan;Swasta;VI;1
2011;Jakarta Timur;Negeri;I;14
2011;Jakarta Timur;Negeri;II;5
2011;Jakarta Timur;Negeri;III;11
2011;Jakarta Timur;Negeri;IV;11
2011;Jakarta Timur;Negeri;V;7
2011;Jakarta Timur;Negeri;VI;1
2011;Jakarta Timur;Swasta;I;12
2011;Jakarta Timur;Swasta;II;3
2011;Jakarta Timur;Swasta;III;1
2011;Jakarta Timur;Swasta;IV;2
2011;Jakarta Timur;Swasta;V;2
2011;Jakarta Timur;Swasta;VI;0
2011;Jakarta Pusat;Negeri;I;0
2011;Jakarta Pusat;Negeri;II;2
2011;Jakarta Pusat;Negeri;III;1
2011;Jakarta Pusat;Negeri;IV;4
2011;Jakarta Pusat;Negeri;V;3
2011;Jakarta Pusat;Negeri;VI;3
2011;Jakarta Pusat;Swasta;I;1
2011;Jakarta Pusat;Swasta;II;0
2011;Jakarta Pusat;Swasta;III;0
2011;Jakarta Pusat;Swasta;IV;2
2011;Jakarta Pusat;Swasta;V;0
2011;Jakarta Pusat;Swasta;VI;0
2011;Jakarta Barat;Negeri;I;29
2011;Jakarta Barat;Negeri;II;2
2011;Jakarta Barat;Negeri;III;13
2011;Jakarta Barat;Negeri;IV;23
2011;Jakarta Barat;Negeri;V;17
2011;Jakarta Barat;Negeri;VI;8
2011;Jakarta Barat;Swasta;I;3
2011;Jakarta Barat;Swasta;II;0
2011;Jakarta Barat;Swasta;III;1
2011;Jakarta Barat;Swasta;IV;3
2011;Jakarta Barat;Swasta;V;8
2011;Jakarta Barat;Swasta;VI;0
2011;Jakarta Utara;Negeri;I;22
2011;Jakarta Utara;Negeri;II;43
2011;Jakarta Utara;Negeri;III;34
2011;Jakarta Utara;Negeri;IV;19
2011;Jakarta Utara;Negeri;V;33
2011;Jakarta Utara;Negeri;VI;21
2011;Jakarta Utara;Swasta;I;18
2011;Jakarta Utara;Swasta;II;23
2011;Jakarta Utara;Swasta;III;7
2011;Jakarta Utara;Swasta;IV;9
2011;Jakarta Utara;Swasta;V;4
2011;Jakarta Utara;Swasta;VI;14
